body_type,bought_condition,car_id,city,color,condition,engine_size,fuel_type,make,mileage,model,price,registered_city,selling_condition,transmission,year_of_manufacture
,Registered,jEY4wdZ9xt9yHTzw7FvoTpKn9y8dtrc,Owerri,Gray,Nigerian Used,3500,Petrol,Honda,149984,Accord,3375000,Lagos,Registered,Automatic,2009
,Registered,jEY4wdZtR5ePh1y4ISiEHyhrH0cHpof,Gudu,White,Nigerian Used,3500,Petrol,Ford,155242,Edge,4500000,,Registered,Automatic,2008
,Imported,jEY4wdZJb5TzWW2vMZpfF7FkHvPwLH8,Amuwo-Odofin,Gray,Nigerian Used,3500,Petrol,Honda,115886,Odyssey,5062500,Lagos,Registered,Automatic,2008
SUV,Imported,jEY4wdZvxoei4Y3PUQiuTo62lpl9oF1,Ojodu,Blue,Foreign Used,2400,Petrol,Hyundai,196497,Tucson,15750000,,Imported,Automatic,2014
,Registered,jEY4wdZmZZrnkYyeQqZtaPBIaReoFFd,Ibadan,Blue,Nigerian Used,2500,Petrol,Toyota,106610,Camry,14400000,LAGOS,Registered,Automatic,2017
SUV,Imported,jEY4wdZSFMxQq2stU2esY7ksQ9a3Xsk,Port-Harcourt,Black,Nigerian Used,,Diesel,Toyota,276204,Land Cruiser Prado,7875000,,Registered,Manual,2008
SUV,Imported,jEY4wdZjjsmZ5ZZHVXXUe5hQiOfu8ON,Ikeja,Silver,Foreign Used,4000,Petrol,Toyota,89062,4-Runner,35437500,,Imported,Automatic,2015
,Brand new,jEY4wdZWUDnJO1bguorHPIEfvzolzbs,Lekki,Black,Nigerian Used,1800,Petrol,Volkswagen,122348,Passat,5625000,LAGOS,Registered,Automatic,2012
,Registered,jEY4wdZF4xynnBuLx6aOY4WP0tPEa5T,Ibadan,Gray,Nigerian Used,2500,Petrol,Toyota,78962,Camry,10575000,Abuja,Registered,Automatic,2013
,Registered,jEY4wdZ9nZtYp75uFIfu9KgTnyryizJ,Yaba,White,Nigerian Used,2700,Petrol,Hyundai,259419,Sonata,2812500,,Registered,Automatic,2003
,Registered,jlCs49Q5FcrNAbuiilhsZtmvRuJ6nz,Jabi,Black,Nigerian Used,3000,Petrol,Mercedes-Benz,102209,C300,7875000,,Registered,Automatic,2011
SUV,Imported,jEY4wdZHVRbAczA8lj7YBrpM3gfPx6l,Karu,Gray,Nigerian Used,3300,Petrol,Lexus,85960,RX 350,10687500,,Registered,Automatic,2009
SUV,Imported,jEY4wdZXGnE3IskDpK2llD0f79DWzRi,Ikoyi,Black,Nigerian Used,2000,Petrol,Kia,60416,Sportage,11250000,,Registered,Automatic,2013
SUV,Imported,jEY4wdZgyOiKh3MhZ68eIhHN05h6aGW,Abeokuta North,Brown,Foreign Used,3500,Petrol,Honda,217893,Pilot,5625000,,Imported,Automatic,2009
,Imported,jEY4wdZLcgAI5ielQTSzftqAWJH2A0Z,Lekki,Gray,Foreign Used,2000,Petrol,Mercedes-Benz,162548,C300,24862500,,Imported,Automatic,2017
,Registered,jEY4wdZwA5GZQrxHUQ8XWbqjlgk86uZ,Kubwa,White,Nigerian Used,2000,Petrol,Peugeot,183667,406,2250000,Abuja,Registered,Manual,2002
,Brand new,jEY4wdZS7IYlRpn2JhoeEptNYdJWC2Q,Kosofe,Black,Nigerian Used,1400,Petrol,Hyundai,112752,Accent,5625000,,Registered,Automatic,2012
,Imported,jEY4wdZXIhlBRn9QumJvwrLPwe6hCXr,Ibadan,Blue,Foreign Used,1800,Petrol,Toyota,69335,Corolla,18000000,,Imported,Automatic,2017
,Imported,jEY4wdZLrQWc294gNLtgNwXYjzTAONv,Surulere,Purple,Nigerian Used,2500,Petrol,Lexus,246351,IS,9562500,,Registered,Automatic,2011
,Imported,jEY4wdZEPJnEx2PKTUTnKBM2rl4fXdF,Amuwo-Odofin,Gray,Nigerian Used,1800,Petrol,Honda,185976,City,3375000,Lagos,Registered,Manual,2008
Sedan,Registered,jEY4we01oSbJQJbyvbAAiX4XadlgbOu,Port-Harcourt,Silver,Nigerian Used,2500,Petrol,Volkswagen,269121,Jetta,4500000,RIVERS STATE,Registered,CVT,2012
SUV,Registered,jEY4wdZVvg83bAWlBVekzr9cw7Of45W,Yaba,Silver,Nigerian Used,3500,Petrol,Honda,219766,Pilot,3937500,LAGOS,Registered,Automatic,2005
,Registered,jEY4wdZBlXZhVBG6c0Slr0f754e6EQm,Port-Harcourt,Gray,Nigerian Used,3500,Petrol,Samsung,201404,SM7,5062500,Rivers,Registered,Automatic,2008
,Imported,jEY4wdZmWgffNCu4P198xV085hZKzJj,Alimosho,White,Nigerian Used,3000,Petrol,Mercedes-Benz,157653,C300,8437500,Abia State,Registered,Automatic,2012
,Registered,jEY4wdZKSzeNW1gQkvXVAoP372GSNda,Lugbe District,Gray,Nigerian Used,2400,Petrol,Toyota,382689,Camry,4275000,Abuja,Registered,Automatic,2003
SUV,Imported,jEY4wdZxthv65oSSJIYlLWSiCQzmswD,Ikoyi,White,Foreign Used,4000,Petrol,Mercedes-Benz,376,G-Class,472500000,,Imported,Automatic,2021
SUV,Registered,jlCs49PZvStJrmJtCmfMjpFk1m5WEC,Ogudu,Silver,Nigerian Used,2400,Petrol,Toyota,102740,RAV4,9000000,Lagos,Registered,Automatic,2008
,Registered,jEY4wdZAO4SevAYJPqxZxq5xFtNAFl2,Benin City,Blue,Nigerian Used,2400,Petrol,Toyota,116037,Camry,6187500,DELTA,Registered,Automatic,2008
SUV,Registered,jEY4wdZh2gKExvZvvzRGTV3RiFgi9Mj,Port-Harcourt,Black,Nigerian Used,3500,Petrol,Honda,113336,Accord Crosstour,5625000,Rivers,Registered,Automatic,2010
,Registered,jEY4wdZcZ0Mln4vbPVItZ8YutbaH0Xw,Ilupeju,Black,Nigerian Used,1200,Petrol,Kia,194073,Rio,3487500,LAGOS,Registered,Manual,2013
SUV,Imported,jEY4wdZFwrCGPujgassSAlyANkO3Hkq,Lekki,Black,Nigerian Used,3500,Petrol,Lexus,264329,RX 350,10125000,Lagos,Registered,Automatic,2007
,Registered,jEY4wdZlVNSpyvKibRAe7HIh6pg8qpB,Lekki,Silver,Nigerian Used,1800,Petrol,Honda,169584,Civic,3375000,LAGOS,Registered,Automatic,2007
SUV,Registered,jEY4wdZfy5LaJnr5nFKRNdWdPGUt9lN,Kosofe,Brown,Nigerian Used,2400,Petrol,Honda,301366,CR-V,2812500,LAGOS,Registered,Automatic,2003
SUV,Brand new,jEY4wdZk3FJuu4vrGt3VFh5goaYwQuX,Ikoyi,Black,Nigerian Used,2500,Petrol,Nissan,96115,X-Trail,14625000,,Registered,Automatic,2015
,Registered,jEY4wdZEwvPNO0tWPqfqsBNkP70NNAc,Ikeja,Gold,Nigerian Used,1600,Petrol,Honda,247982,Civic,3937500,,Registered,Automatic,2007
,Imported,jlCs49QiRy5n5y0xDXVHtvL67FE44x,Ajah,Red,Foreign Used,2500,Petrol,Nissan,73409,Almera,12937500,,Imported,CVT,2015
Sedan,Imported,jEY4wdZcBypGb0gqnulInK9BAKNbjhi,Uyo,Blue,Foreign Used,1800,Petrol,Toyota,206951,Corolla,13612500,,Imported,Automatic,2016
Sedan,Registered,jEY4wdZuyLF1IsvzRuRnYBg1VOiDO2Y,Port-Harcourt,Black,Nigerian Used,2400,Petrol,Toyota,413051,Camry,4500000,Lagos,Registered,Automatic,2002
SUV,Registered,jEY4wdZBJCSy2NVj6fEC5v7Vr1quhgD,Owerri,White,Nigerian Used,3500,Petrol,Acura,227750,MDX,6750000,Lagos,Registered,Automatic,2008
,Registered,jEY4wdZBqxdcfukUn0wONQFvFhk95sR,Karu,Gray,Nigerian Used,1600,Petrol,Peugeot,214523,308,3937500,,Registered,Automatic,2008
,Registered,jEY4wdZv3PAyMSXzV0B239AfwC8EVbe,Karu,Blue,Nigerian Used,,Petrol,Honda,185203,Accord,5062500,,Registered,Automatic,2009
,Imported,jEY4wdZIPyNutAOf0w3gVDk6Ks7u0sV,Ikeja,White,Nigerian Used,1800,Petrol,Toyota,209491,Corolla,3386250,Lagos,Registered,Automatic,2004
SUV,Registered,jEY4wdZa0thNXLokAyP9tjLgSGBCyHl,Ibadan,Silver,Nigerian Used,3500,Petrol,Toyota,306135,Highlander,4500000,,Registered,Automatic,2003
Sedan,Registered,jEY4wdZxpec5AJNXa0UcFGDgCCxDBiO,Owerri,Teal,Nigerian Used,1800,Petrol,Toyota,76665,Corolla,10125000,LAGOS,Registered,Automatic,2013
SUV,Imported,jEY4wdZu41lrxNCJsPWF3bsLTbuNsPx,Lugbe District,Gray,Foreign Used,3500,Petrol,Lexus,118788,RX 350,25312500,,Imported,Automatic,2010
,Imported,jEY4wdZtsMJ01ztQj4xxdtoGMmOcvFU,Ipaja,Gray,Nigerian Used,1800,Petrol,Toyota,190200,Corolla,6187500,Lagos,Registered,Automatic,2011
SUV,Imported,jEY4wdZa3py8WdvtxQXThwt5mhdUCcV,Ojodu,Brown,Foreign Used,2700,Petrol,Toyota,58506,Venza,19125000,,Imported,Automatic,2014
,Registered,jEY4wdZSTHVwvoMe18BgdYxCGJaD5Bt,Karu,Red,Nigerian Used,2400,Petrol,Toyota,198523,Camry,3937500,,Registered,Automatic,2005
,Registered,jEY4wdZbEaFS89FKGi3c9P0mWeurvCs,Ikeja,Blue,Nigerian Used,3500,Petrol,Honda,173426,Odyssey,4387500,Lagos,Registered,Automatic,2007
,Registered,jEY4wdZr6WSdAdBHDaYp7nVUUqzUYzs,Abeokuta North,Green,Nigerian Used,1000,Petrol,Nissan,1207080,Micra,1800000,OGUN,Registered,Manual,1994
,Imported,jEY4wdZPSe7WdBtxmEtjiAxfmk33xWe,Enugu,Orange,Nigerian Used,2000,Petrol,Hyundai,107756,Sonata,18225000,ABUJA,Registered,Automatic,2015
,Registered,jEY4wdZWcK8QcEMfqqhxCuvBi56BpP0,Ikeja,Silver,Nigerian Used,2400,Petrol,Toyota,332246,Camry,4500000,,Registered,Automatic,2005
,Imported,jEY4wdZFW9EL0ocsyj6rCilrDXJTR4n,Ojodu,Blue,Nigerian Used,3500,Petrol,Toyota,419113,Sienna,5062500,,Registered,Automatic,2008
,Brand new,jEY4wdZkaodBeBIjM7jG5E7uIsDZjyH,Kosofe,Brown,Nigerian Used,2400,Petrol,Kia,103525,Sportage,7875000,,Registered,Automatic,2013
,Registered,jEY4wdZB2fyCRLugOTnmHDCVsysjjcW,Port-Harcourt,Black,Nigerian Used,3500,Petrol,Toyota,76788,Camry,5062500,Lagos,Registered,Automatic,2009
,Imported,jEY4wdZt60cJd3uaMsDlu2R8CJJrBCb,Akure,Red,Foreign Used,1800,Petrol,Toyota,112723,Corolla,14062500,,Imported,Automatic,2013
SUV,Registered,jEY4wdZWIuA3ufn6PGRrAMyGwaLxZGs,Yaba,Blue,Nigerian Used,3500,Petrol,Honda,180497,CR-V,5625000,LAGOS,Registered,Automatic,2009
SUV,Registered,jEY4wdZ9MY1trvQlBcbz8nGseGFHT6v,Port-Harcourt,Red,Nigerian Used,3500,Petrol,Ford,165223,Edge,7875000,Lagos,Registered,Automatic,2012
,Registered,jEY4wdZxORsLjKNUE5ZN1FEJyjzu3U9,Abule Egba,Blue,Nigerian Used,2400,Petrol,Honda,199953,Accord,4500000,LAGOS,Registered,Automatic,2008
SUV,Imported,jEY4wdZkwvRjzee7ooHj7KefpRpqcsS,Ogba,Silver,Nigerian Used,2000,Petrol,Toyota,236070,RAV4,3375000,,Registered,Automatic,1999
,Registered,jEY4wdZqQMUQnxF0KXT7gZ7oIwW7aHA,Lugbe District,Silver,Nigerian Used,1400,Petrol,Peugeot,56482,206,2250000,,Registered,Automatic,2001
,Registered,jEY4wdZ9rz227FWL5PvmIFVWnLfAa6Z,Abule Egba,Blue,Nigerian Used,1800,Petrol,Toyota,134963,Corolla,4095000,OGUN,Registered,Automatic,2006
SUV,Imported,jEY4wdZa0X5s3vLCBczO64aUjIkx4gl,Oshimili South,Silver,Nigerian Used,3500,Petrol,Toyota,171293,Venza,15750000,LAGOS,Registered,Automatic,2013
SUV,Registered,jEY4wdZupUdAIjPgAaloxgxWiSdBPA0,Yaba,Silver,Nigerian Used,4000,Petrol,Chrysler,299475,Pacifica,4500000,LAGOS,Registered,Automatic,2007
SUV,Imported,jEY4wdZAtfSSJZX2bRCSG0LXkxbrvQZ,Amuwo-Odofin,Black,Nigerian Used,4600,Petrol,Lexus,74901,GX,73500000,LAGOS,Registered,Automatic,2016
Sedan,Imported,jEY4wdZiWRTFnXvCqWBQnUJtnQHCzGj,Lugbe District,Burgandy,Nigerian Used,2400,Petrol,Honda,337225,Accord,6750000,Kano,Registered,Automatic,2009
SUV,Imported,jlCs49PvY2wbeUpfyZf5w48E51og33,Isolo,Silver,Nigerian Used,3000,Petrol,Toyota,210013,Highlander,6750000,,Registered,Automatic,2007
,Registered,jEY4wdZmDQgjRchGLqQGRWd5OposEq9,Yaba,Black,Nigerian Used,1800,Petrol,Toyota,245852,Corolla,3375000,LAGOS,Registered,Manual,2004
,Registered,jEY4wdZXffZp94YKGEv775trEeRzlsJ,Alimosho,Brown,Nigerian Used,3000,Petrol,Toyota,271360,Sienna,2812500,LAGOS,Registered,Automatic,2001
,Registered,jEY4wdZm5QVU7oDBUxWvbcuAPYbtPFJ,Wuse,Silver,Nigerian Used,1500,Petrol,Toyota,188921,Yaris,4200000,Lagos,Registered,Automatic,2010
,Registered,jEY4wdZEXq18gWeZcGoBOzrHRZrDinu,Port-Harcourt,Blue,Nigerian Used,3500,Petrol,Toyota,152332,Sienna,6975000,,Registered,Automatic,2006
,Imported,jEY4wdZcFKNbfEBbxRDu3kufUv6epVG,Gudu,Black,Nigerian Used,2000,Petrol,Peugeot,93804,3008,8610000,,Registered,Automatic,2012
,Registered,jEY4wdZPsYuHqLXBWb6vrK8lY4lz5m8,Abule Egba,White,Nigerian Used,2700,Petrol,Toyota,130090,Hilux,20250000,LAGOS,Registered,Automatic,2014
,Registered,jEY4wdZcswjG20p79tUNu62s7sq3Odd,Garki 2,Red,Nigerian Used,1500,Petrol,Toyota,209123,Yaris,3465000,ABUJA,Registered,Automatic,2007
,Registered,jEY4wdZJeoXKFogw3GZXVDTjCO9PWMT,Karu,Black,Nigerian Used,1300,Petrol,Honda,262453,City,3375000,,Registered,Manual,2007
,Imported,jEY4wdZys7TDaIzCXFTiCD9myilHjD5,Ikotun/Igando,Black,Nigerian Used,2000,Petrol,Hyundai,143790,Elantra,3937500,,Registered,Automatic,2008
,Registered,jEY4wdZBjDT8VFhxzrFn80Aswlvxu0y,Ibadan,Green,Nigerian Used,3300,Petrol,Chrysler,176365,Town&Country,3150000,LAGOS,Registered,Automatic,2004
,Registered,jEY4wdZfUxQaP4X80atnTTiY1ehKfsB,Ibadan,Blue,Nigerian Used,2400,Petrol,Mitsubishi,278787,L200,3600000,,Registered,Manual,2009
,Brand new,jEY4wdZs0O6flvgjnpiJBL2RwP4D3iz,Ikorodu,Burgandy,Nigerian Used,1600,Petrol,Hyundai,53004,Elantra,8925000,,Registered,Automatic,2015
,Registered,jEY4wdZWLFR584MaPORv2bycc7qkFlw,Ibadan,Gray,Nigerian Used,1800,Petrol,Toyota,236564,Corolla,7312500,Lagos,Registered,Automatic,2009
SUV,Imported,jEY4wdZIKoXVsOQaJqlnpfHzzfWWevS,Alimosho,Red,Nigerian Used,2500,Petrol,Toyota,172508,RAV4,18562500,Lagos,Registered,Automatic,2016
,Registered,jEY4wdZd7J2DoXUwQMEU9TfUahiLEjl,Gudu,Gray,Nigerian Used,3000,Petrol,Mazda,263947,B-series,3465000,,Registered,Automatic,2002
SUV,Registered,jEY4wdZwO5sk4nlhVPmUv5neN2zFRmS,Port-Harcourt,Black,Nigerian Used,,Petrol,Acura,223527,MDX,3937500,,Registered,Automatic,2006
,Imported,jEY4wdZfJtSKPDX4Ub9C1WyUiUxGEFv,Benin City,Silver,Nigerian Used,3300,Petrol,Lexus,203870,ES,6750000,ABUJA,Registered,Automatic,2005
,Registered,jEY4wdZJbjPiTKl5LSENMtgOWtu6aLP,Surulere,Brown,Nigerian Used,1600,Petrol,Hyundai,98855,Accent,5250000,Lagos,Registered,Automatic,2014
,Imported,jEY4wdZyc0xnStpwAmT3Tka28yraxvz,Gudu,Black,Nigerian Used,2400,Petrol,Honda,205330,Accord,13500000,,Registered,Automatic,2013
SUV,Brand new,jEY4wdZrALX5OmULq1OyOzwtawjZfLu,Ikoyi,Black,Foreign Used,35,Petrol,Lexus,35,RX 350,144000000,,Imported,Automatic,2023
SUV,Registered,jEY4wdZfAQ4hOoOKgtJ7vygEPUqe2zB,Yaba,Black,Nigerian Used,1500,Petrol,Ford,65505,Ecosport,5062500,LAGOS,Registered,Automatic,2013
,Registered,jEY4wdZEEDiiV4qvewXhphHmlk3r0pH,Ibadan,Gray,Nigerian Used,1800,Petrol,Toyota,115608,Corolla,9000000,Lagos,Registered,Automatic,2011
,Registered,jlCs49PSVWskcprLwjclWysjkoqmS6,Karu,Gray,Nigerian Used,3000,Petrol,BMW,415792,5 Series,3825000,,Registered,Automatic,2004
SUV,Imported,jEY4wdZTcWp1katb3nybUpPlF85aodg,Wuse,White,Nigerian Used,5000,Petrol,Land Rover,152019,Range Rover Sport,13500000,Abuja,Registered,Automatic,2011
SUV,Imported,jEY4wdZgFsAn9oaK5wE0x0vN591HoKD,Benin City,Black,Nigerian Used,3500,Petrol,Mercedes-Benz,39232,M Class,20812500,Lagos,Registered,Automatic,2014
,Registered,jEY4wdZdzUajukQRmyapr5wa71oeTIa,Garki 2,Burgandy,Nigerian Used,1500,Petrol,Honda,220810,City,4837500,,Registered,Automatic,2009
SUV,Registered,jEY4wdZLQ0CfZI7inTH9JQRuBIHCr4N,Ojodu,Gray,Nigerian Used,3500,Petrol,Lexus,142302,RX 350,19125000,LAGOS,Registered,Automatic,2010
Hatchback,Imported,jlCs49PM3PS6QnBrky19636yvMYkdi,Ibadan,Blue,Nigerian Used,1600,Petrol,Nissan,394964,Almera,2250000,Abuja,Registered,Automatic,2002
,Imported,jEY4wdZFO3Sb6nRtzysCsf8IeLiiJV1,Lekki,Black,Nigerian Used,3500,Petrol,Toyota,383005,Highlander,13500000,,Registered,Automatic,2013
SUV,Registered,jEY4wdZtgl1KdD8IpjTIJAsbylHLX7u,Ibadan,White,Nigerian Used,3500,Petrol,Acura,155090,MDX,3675000,LAGOS,Registered,Automatic,2004
,Registered,jEY4wdZE5ITbPUoyCAGAGEr2XqiwCHa,Gwarinpa,Black,Nigerian Used,2400,Petrol,Honda,349810,Accord,4725000,,Registered,Automatic,2007
,Imported,jEY4wdZQpmWIK17syPDWADVbR8eReUV,Ajah,Black,Nigerian Used,3500,Petrol,Nissan,36929,Maxima,2730000,Abuja,Registered,Automatic,2009
Sedan,Imported,jEY4wdZKPHzj0Z14ciqUGXCFW3bX5BU,Amuwo-Odofin,Blue,Nigerian Used,4600,Petrol,Lexus,148308,LS,12390000,LAGOS,Registered,Automatic,2009
SUV,Imported,jEY4wdZAtXjMHbm9JiVS9fy7lwAkS3e,Jabi,Black,Nigerian Used,3500,Petrol,Mercedes-Benz,306512,M Class,10125000,,Registered,Automatic,2008
SUV,Imported,jEY4wdZEJRk4VDT9R5SXejkWnO1QWvJ,Lekki,White,Nigerian Used,5000,Petrol,Land Rover,97966,Range Rover,42000000,LAGOS,Registered,Automatic,2014
SUV,Registered,jEY4wdZooAcAXXFqHrvQvFSHFCzLGYW,Magodo,Black,Nigerian Used,2000,Petrol,Toyota,239727,RAV4,7087500,LAGOS,Registered,Automatic,2008
